Ticker, Quantity, Price, Date, Transaction Type
SPOT, 2, 140.48, 2020-02-24, SOLD
NFLX, 1, 364.76, 2020-02-24, SOLD
SQ, 1, 76.57, 2020-02-24, SOLD
PTON, 1, 26.65, 2020-02-25, BOUGHT
CROX, 1, 35.66, 2020-02-25, BOUGHT
ADDYY, 1, 141.799, 2020-02-25, BOUGHT
AMZN, 1, 101.321, 2020-02-25, BOUGHT
SPOT, 1, 140.92, 2020-02-26, BOUGHT
HMC, 1, 24.4739, 2020-02-26, BOUGHT
CL, 1, 68.1132, 2020-02-26, BOUGHT
MCD, 1, 195.377, 2020-02-26, BOUGHT
HSY, 1, 147.388, 2020-02-27, BOUGHT
NTDOY, 1, 8.62, 2020-02-27, BOUGHT
PMMAF, 1, 73.969, 2020-02-27, SOLD
MMM, 1, 133.504, 2020-02-28, BOUGHT
PMMAF, 1, 76.7804, 2020-02-28, BOUGHT
PTON, 1, 28, 2020-02-28, SOLD
ADDYY, 1, 133.808, 2020-03-02, BOUGHT
AMZN, 1, 95.3245, 2020-03-02, BOUGHT
AAPL, 1, 69.0055, 2020-03-02, BOUGHT
NKE, 1, 86.5724, 2020-03-02, BOUGHT
CROX, 1, 26.83, 2020-03-03, BOUGHT
TGT, 1, 104.381, 2020-03-03, BOUGHT
GOOGL, 1, 69.884, 2020-03-03, BOUGHT
SPOT, 1, 139.43, 2020-03-03, BOUGHT
DIS, 1, 118.96, 2020-03-04, BOUGHT
DAL, 1, 47.4004, 2020-03-04, BOUGHT
COST, 1, 292.614, 2020-03-04, BOUGHT
LUV, 1, 44.9137, 2020-03-04, BOUGHT
AMZN, 2, 97.3285, 2020-03-04, SOLD
AAPL, 2, 72.467, 2020-03-04, SOLD
AEO, 1, 12.2618, 2020-03-05, BOUGHT
TSLA, 1, 48.2513, 2020-03-05, BOUGHT
SBUX, 1, 72.5658, 2020-03-05, BOUGHT
NVDA, 1, 68.9032, 2020-03-05, BOUGHT
CRM, 1, 165.67, 2020-03-06, BOUGHT
CL, 1, 64.772, 2020-03-06, BOUGHT
HSY, 1, 144.539, 2020-03-06, BOUGHT
LOGI, 1, 37.165, 2020-03-06, BOUGHT
COST, 1, 296.268, 2020-03-06, SOLD
NVDA, 1, 66.3065, 2020-03-06, SOLD
SHOP, 1, 43.082, 2020-03-09, BOUGHT
AMD, 1, 43.03, 2020-03-09, BOUGHT
UL, 1, 48.4032, 2020-03-09, BOUGHT
JNJ, 1, 124.197, 2020-03-09, BOUGHT
SPOT, 2, 136.93, 2020-03-09, SOLD
PTON, 1, 24.1, 2020-03-10, BOUGHT
CROX, 1, 22.45, 2020-03-10, BOUGHT
ADDYY, 1, 126.262, 2020-03-10, BOUGHT
AMZN, 1, 93.544, 2020-03-10, BOUGHT
AAPL, 1, 67.8101, 2020-03-11, BOUGHT
NKE, 1, 81.1616, 2020-03-11, BOUGHT
TGT, 1, 98.8168, 2020-03-11, BOUGHT
GOOGL, 1, 62.4135, 2020-03-11, BOUGHT
