2020-01-09,BOUGHT,SBUX,1,83.6801
2020-01-09,BOUGHT,NVDA,1,60.7306
2020-01-09,BOUGHT,CRM,1,178.84
2020-01-09,SOLD,AEO,1,13.3595
2020-01-10,BOUGHT,CL,1,63.7958
2020-01-10,BOUGHT,CMG,1,866
2020-01-10,BOUGHT,PINS,1,19.65
2020-01-10,BOUGHT,LOGI,1,45.6259
2020-01-10,SOLD,ZM,1,73.08
2020-01-10,SOLD,DAL,1,58.72
2020-01-10,SOLD,LUV,1,52.9897
2020-01-10,SOLD,TSLA,5,32.1193
2020-01-13,BOUGHT,PTON,1,28.3
2020-01-13,BOUGHT,HSY,1,137.858
2020-01-13,BOUGHT,SHOP,1,43.499
2020-01-13,BOUGHT,AMD,1,48.66
2020-01-13,SOLD,ADDYY,1,166.101
2020-01-13,SOLD,TGT,1,115.457
2020-01-13,SOLD,COST,1,281.229
2020-01-13,SOLD,SBUX,1,84.0232
2020-01-13,SOLD,CMG,1,856.13
2020-01-13,SOLD,LOGI,1,45.5111
2020-01-14,BOUGHT,NKE,1,98.7143
2020-01-14,BOUGHT,HMC,1,25.8515
2020-01-14,BOUGHT,AXP,1,122.434
2020-01-14,BOUGHT,MA,1,310.101
2020-01-14,SOLD,CL,1,64.1709
2020-01-14,SOLD,AMD,1,48.64
2020-01-15,BOUGHT,DIS,1,145.71
2020-01-15,BOUGHT,MCD,1,190.265
2020-01-15,BOUGHT,ADBE,1,346.42
2020-01-15,BOUGHT,HD,1,203.231
2020-01-15,SOLD,NVDA,1,61.7118
2020-01-15,SOLD,CRM,1,181.68
2020-01-15,SOLD,HSY,1,138.267
2020-01-15,SOLD,SHOP,1,44.192
2020-01-15,SOLD,MA,1,306.188
2020-01-16,BOUGHT,AMZN,1,94.1495
2020-01-16,BOUGHT,SPOT,1,153.35
2020-01-16,BOUGHT,CSCO,1,43.3722
2020-01-16,BOUGHT,MAR,1,145.324
2020-01-16,SOLD,NKE,1,99.1286
2020-01-16,SOLD,PINS,1,22.24
2020-01-16,SOLD,ADBE,1,345.98
2020-01-17,BOUGHT,HMC,1,25.6666
